stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_00579,BASS_00295,BASS_AND_DRUM_SUPPORTED,5169664,5169664,0.0
bass,F_MIX_00582,BASS_00296,DRUM_SUPPORTED,5186560,5186048,11.609977324263038
bass,F_MIX_00583,BASS_00297,BASS_AND_DRUM_SUPPORTED,5202944,5202944,0.0
bass,F_MIX_00591,BASS_00299,BASS_AND_DRUM_SUPPORTED,5283328,5283840,-11.609977324263038
bass,F_MIX_00597,BASS_00303,BASS_AND_DRUM_SUPPORTED,5347328,5346816,11.609977324263038
bass,F_MIX_00598,BASS_00304,BASS_AND_DRUM_SUPPORTED,5363200,5363712,-11.609977324263038
bass,F_MIX_00600,BASS_00305,BASS_AND_DRUM_SUPPORTED,5379072,5379072,0.0
bass,F_MIX_00602,BASS_00306,BASS_AND_DRUM_SUPPORTED,5394944,5394944,0.0
bass,F_MIX_00606,BASS_00308,BASS_AND_DRUM_SUPPORTED,5443072,5443072,0.0
bass,F_MIX_00608,BASS_00309,BASS_AND_DRUM_SUPPORTED,5459456,5459968,-11.609977324263038
bass,F_MIX_00610,BASS_00310,BASS_AND_DRUM_SUPPORTED,5475328,5475840,-11.609977324263038
bass,F_MIX_00612,BASS_00311,BASS_AND_DRUM_SUPPORTED,5491712,5491200,11.609977324263038
bass,F_MIX_00613,BASS_00312,BASS_AND_DRUM_SUPPORTED,5507072,5507584,-11.609977324263038
bass,F_MIX_00615,BASS_00313,BASS_AND_DRUM_SUPPORTED,5522944,5523456,-11.609977324263038
bass,F_MIX_00621,BASS_00319,BASS_AND_DRUM_SUPPORTED,5585408,5585408,0.0
bass,F_MIX_00622,BASS_00320,DRUM_SUPPORTED,5587456,5586944,11.609977324263038
bass,F_MIX_00623,BASS_00321,UNKNOWN,5597696,5597184,11.609977324263038
bass,F_MIX_00626,BASS_00323,DRUM_SUPPORTED,5618176,5617664,11.609977324263038
bass,F_MIX_00628,BASS_00324,DRUM_SUPPORTED,5633536,5633024,11.609977324263038
bass,F_MIX_00630,BASS_00325,DRUM_SUPPORTED,5650432,5649920,11.609977324263038
bass,F_MIX_00635,BASS_00328,DRUM_SUPPORTED,5698048,5698048,0.0
bass,F_MIX_00639,BASS_00330,DRUM_SUPPORTED,5729792,5730304,-11.609977324263038
bass,F_MIX_00640,BASS_00331,DRUM_SUPPORTED,5745664,5746176,-11.609977324263038
bass,F_MIX_00645,BASS_00334,DRUM_SUPPORTED,5777408,5777920,-11.609977324263038
bass,F_MIX_00646,BASS_00335,UNKNOWN,5788672,5788160,11.609977324263038
bass,F_MIX_00647,BASS_00336,UNKNOWN,5791744,5791744,0.0
bass,F_MIX_00651,BASS_00339,DRUM_SUPPORTED,5840896,5840384,11.609977324263038
bass,F_MIX_00653,BASS_00340,DRUM_SUPPORTED,5855744,5856256,-11.609977324263038
bass,F_MIX_00658,BASS_00343,DRUM_SUPPORTED,5903360,5903360,0.0
bass,F_MIX_00660,BASS_00344,DRUM_SUPPORTED,5919232,5919232,0.0
bass,F_MIX_00662,BASS_00345,DRUM_SUPPORTED,5950464,5949952,11.609977324263038
bass,F_MIX_00663,BASS_00346,DRUM_SUPPORTED,5966848,5966336,11.609977324263038
bass,F_MIX_00664,BASS_00347,DRUM_SUPPORTED,5982720,5982720,0.0
bass,F_MIX_00665,BASS_00348,DRUM_SUPPORTED,5998080,5998080,0.0
bass,F_MIX_00666,BASS_00349,DRUM_SUPPORTED,6013440,6013952,-11.609977324263038
bass,F_MIX_00668,BASS_00350,DRUM_SUPPORTED,6030336,6030336,0.0
bass,F_MIX_00672,BASS_00351,DRUM_SUPPORTED,6062592,6063104,-11.609977324263038
bass,F_MIX_00673,BASS_00352,UNKNOWN,6074880,6074880,0.0
bass,F_MIX_00674,BASS_00353,DRUM_SUPPORTED,6077952,6078464,-11.609977324263038
bass,F_MIX_00675,BASS_00354,DRUM_SUPPORTED,6090240,6090240,0.0
bass,F_MIX_00676,BASS_00355,DRUM_SUPPORTED,6109696,6110208,-11.609977324263038
bass,F_MIX_00679,BASS_00358,DRUM_SUPPORTED,6141440,6141440,0.0
bass,F_MIX_00681,BASS_00359,DRUM_SUPPORTED,6157312,6157824,-11.609977324263038
bass,F_MIX_00683,BASS_00360,DRUM_SUPPORTED,6172672,6172672,0.0
bass,F_MIX_00684,BASS_00361,DRUM_SUPPORTED,6183424,6183424,0.0
bass,F_MIX_00686,BASS_00363,DRUM_SUPPORTED,6204928,6204928,0.0
bass,F_MIX_00687,BASS_00364,DRUM_SUPPORTED,6220800,6220288,11.609977324263038
bass,F_MIX_00689,BASS_00365,DRUM_SUPPORTED,6236672,6237184,-11.609977324263038
bass,F_MIX_00691,BASS_00366,DRUM_SUPPORTED,6253056,6253056,0.0
bass,F_MIX_00692,BASS_00367,DRUM_SUPPORTED,6267904,6268416,-11.609977324263038
bass,F_MIX_00695,BASS_00369,DRUM_SUPPORTED,6300160,6300672,-11.609977324263038
bass,F_MIX_00697,BASS_00370,DRUM_SUPPORTED,6316544,6317056,-11.609977324263038
bass,F_MIX_00700,BASS_00371,DRUM_SUPPORTED,6348800,6348288,11.609977324263038
bass,F_MIX_00707,BASS_00376,DRUM_SUPPORTED,6423552,6423040,11.609977324263038
bass,F_MIX_00709,BASS_00379,UNKNOWN,6438912,6438912,0.0
bass,F_MIX_00712,BASS_00382,UNKNOWN,6470144,6470144,0.0
bass,F_MIX_00714,BASS_00383,UNKNOWN,6475776,6475776,0.0
bass,F_MIX_00715,BASS_00384,UNKNOWN,6483456,6483456,0.0
bass,F_MIX_00716,BASS_00385,UNKNOWN,6485504,6485504,0.0
bass,F_MIX_00717,BASS_00386,UNKNOWN,6489088,6489088,0.0
bass,F_MIX_00718,BASS_00387,DRUM_SUPPORTED,6491648,6491136,11.609977324263038
bass,F_MIX_00719,BASS_00388,UNKNOWN,6501888,6501888,0.0
bass,F_MIX_00721,BASS_00389,UNKNOWN,6507520,6507520,0.0
bass,F_MIX_00722,BASS_00390,UNKNOWN,6514688,6515200,-11.609977324263038
